candidate_id,rank,score,reasoning
CAND_0079387,1,0.7495,"AI Engineer with 6.9 years experience at Microsoft; verified Sentence Transformers score 86/100; hands-on retrieval, ranking work in career history."
CAND_0077337,2,0.7352,"Staff Machine Learning Engineer with 7.0 years experience at Paytm; verified Semantic Search score 63/100; hands-on retrieval, ranking work in career history."
CAND_0018499,3,0.729,"Senior Machine Learning Engineer with 7.2 years experience at Zomato; verified Deep Learning score 94/100; hands-on retrieval, ranking work in career history."
CAND_0041669,4,0.722,"Recommendation Systems Engineer with 8.0 years experience at CRED; verified FAISS score 84/100; hands-on ranking, recommendation work in career history."
CAND_0064326,5,0.7179,"Search Engineer with 7.6 years experience at Sarvam AI; verified Milvus score 76/100; hands-on ranking, embeddings work in career history."
CAND_0046064,6,0.7122,"Senior NLP Engineer with 8.9 years experience at Salesforce; verified Python score 64/100; hands-on retrieval, ranking work in career history."
CAND_0027691,7,0.706,"NLP Engineer with 6.5 years experience at Haptik; verified LoRA score 87/100; hands-on retrieval, ranking work in career history."
CAND_0086022,8,0.7009,"Senior Applied Scientist with 5.3 years experience at Sarvam AI; verified Vector Search score 93/100; hands-on retrieval, ranking work in career history."
CAND_0071974,9,0.6994,"Senior AI Engineer with 7.8 years experience at Netflix; verified LoRA score 87/100; hands-on retrieval, ranking work in career history."
CAND_0055905,10,0.6986,"Senior Machine Learning Engineer with 8.1 years experience at Flipkart; verified Elasticsearch score 83/100; hands-on retrieval, ranking work in career history."
CAND_0065878,11,0.6941,"Senior Data Scientist with 7.8 years experience at Niramai; verified scikit-learn score 71/100; hands-on ranking, recommendation work in career history."
CAND_0041610,12,0.6916,"Recommendation Systems Engineer with 6.7 years experience at Zoho; verified OpenCV score 73/100; hands-on ranking, embeddings work in career history."
CAND_0028793,13,0.6866,"Search Engineer with 7.2 years experience at Google; verified Embeddings score 89/100; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0052682,14,0.6837,"NLP Engineer with 6.6 years experience at Aganitha; verified QLoRA score 66/100; hands-on ranking, recommendation work in career history."
CAND_0083307,15,0.6811,"Search Engineer with 7.8 years experience at CRED; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0093912,16,0.6793,"Senior Data Scientist with 5.3 years experience at Razorpay; verified Milvus score 75/100; hands-on retrieval, ranking work in career history."
CAND_0068811,17,0.6779,"Applied ML Engineer with 8.0 years experience at Freshworks; verified Vector Search score 53/100; hands-on ranking, recommendation work in career history."
CAND_0080766,18,0.6777,"Staff Machine Learning Engineer with 8.8 years experience at Salesforce; verified Weaviate score 84/100; hands-on retrieval, ranking work in career history."
CAND_0081846,19,0.6757,"Lead AI Engineer with 6.7 years experience at Razorpay; verified LlamaIndex score 68/100; hands-on retrieval, ranking work in career history."
CAND_0005538,20,0.6752,"Senior AI Engineer with 5.9 years experience at Adobe; verified Embeddings score 93/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days."
CAND_0007009,21,0.6692,"Recommendation Systems Engineer with 7.9 years experience at Wysa; verified Statistical Modeling score 51/100; hands-on retrieval, embeddings work in career history."
CAND_0002025,22,0.6681,"Senior AI Engineer with 5.9 years experience at Apple; hands-on ranking, recommendation work in career history."
CAND_0008425,23,0.6662,"Senior NLP Engineer with 7.8 years experience at Ola; verified Learning to Rank score 78/100; hands-on retrieval, ranking work in career history. Concern: notice period 90 days."
CAND_0046525,24,0.6654,"Senior Machine Learning Engineer with 6.1 years experience at Genpact AI; verified LangChain score 96/100; hands-on retrieval, ranking work in career history."
CAND_0005649,25,0.6635,"Senior Data Scientist with 7.4 years experience at Sarvam AI; hands-on retrieval, ranking work in career history. Concern: notice period 90 days."
CAND_0050876,26,0.6621,"Applied ML Engineer with 6.0 years experience at Freshworks; verified FAISS score 81/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days."
CAND_0098846,27,0.6613,"AI Engineer with 7.6 years experience at upGrad; hands-on ranking, embeddings work in career history."
CAND_0051292,28,0.6575,"Applied ML Engineer with 5.2 years experience at Freshworks; hands-on retrieval, ranking work in career history."
CAND_0011687,29,0.6548,"Senior NLP Engineer with 7.8 years experience at Niramai; verified TensorFlow score 78/100; hands-on retrieval, ranking work in career history."
CAND_0088025,30,0.6513,"Staff Machine Learning Engineer with 8.6 years experience at Yellow.ai; verified Pinecone score 94/100; hands-on retrieval, ranking work in career history. Concern: notice period 90 days."
CAND_0086151,31,0.6512,"Recommendation Systems Engineer with 7.7 years experience at Wysa; verified Recommendation Systems score 84/100; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0018549,32,0.6458,"Recommendation Systems Engineer with 6.8 years experience at Uber; verified Elasticsearch score 90/100; hands-on ranking, recommendation work in career history."
CAND_0061257,33,0.6433,Staff Machine Learning Engineer with 8.0 years experience at LinkedIn; verified Haystack score 70/100; hands-on ranking work in career history.
CAND_0024147,34,0.641,"ML Engineer with 5.9 years experience at Ola; verified Qdrant score 64/100; hands-on ranking, recommendation work in career history."
CAND_0024466,35,0.6403,"Search Engineer with 5.2 years experience at PharmEasy; verified Reinforcement Learning score 89/100; hands-on ranking, recommendation work in career history. Concern: notice period 120 days."
CAND_0061265,36,0.6401,"Recommendation Systems Engineer with 6.6 years experience at Zoho; verified Qdrant score 85/100; hands-on retrieval, ranking work in career history. Concern: notice period 120 days."
CAND_0029367,37,0.6393,"Senior Data Scientist with 5.7 years experience at Rephrase.ai; verified Haystack score 90/100; hands-on retrieval, embeddings work in career history. Concern: notice period 90 days."
CAND_0069905,38,0.6373,"Applied ML Engineer with 6.6 years experience at Sarvam AI; verified LoRA score 71/100; hands-on retrieval, embeddings work in career history. Concern: notice period 90 days."
CAND_0067866,39,0.6364,"Senior Software Engineer (ML) with 6.4 years experience at Tech Mahindra; hands-on ranking, recommendation work in career history."
CAND_0065195,40,0.6351,Search Engineer with 5.1 years experience at CRED; verified LLMs score 61/100; hands-on embeddings work in career history.
CAND_0040887,41,0.6346,"Machine Learning Engineer with 4.7 years experience at Netflix; verified Reinforcement Learning score 86/100; hands-on retrieval, embeddings work in career history."
CAND_0050454,42,0.6335,"AI Engineer with 6.8 years experience at Rephrase.ai; verified PyTorch score 59/100; hands-on retrieval, ranking work in career history."
CAND_0052195,43,0.6333,"Computer Vision Engineer with 6.3 years experience at Sarvam AI; verified Sentence Transformers score 75/100; hands-on ranking, recommendation work in career history."
CAND_0004402,44,0.633,"AI Research Engineer with 6.0 years experience at Yellow.ai; verified TTS score 86/100; hands-on ranking, recommendation work in career history."
CAND_0040117,45,0.6318,"Recommendation Systems Engineer with 6.5 years experience at PhonePe; verified RAG score 78/100; hands-on ranking, recommendation work in career history."
CAND_0014440,46,0.6308,Recommendation Systems Engineer with 6.4 years experience at CRED; verified Elasticsearch score 58/100; hands-on ranking work in career history.
CAND_0011327,47,0.6292,"AI Research Engineer with 6.3 years experience at Krutrim; verified Forecasting score 72/100; hands-on ranking, recommendation work in career history."
CAND_0067535,48,0.6289,"Junior ML Engineer with 6.8 years experience at Locobuzz; verified BentoML score 72/100; hands-on ranking, recommendation work in career history."
CAND_0007412,49,0.6285,"Applied ML Engineer with 7.4 years experience at Zoho; verified scikit-learn score 56/100; hands-on ranking, embeddings work in career history. Concern: notice period 120 days."
CAND_0031593,50,0.6285,"Search Engineer with 7.8 years experience at Genpact AI; verified Haystack score 64/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days."
CAND_0042100,51,0.6282,Machine Learning Engineer with 7.3 years experience at Freshworks; verified Statistical Modeling score 82/100; hands-on ranking work in career history. Concern: notice period 90 days; borderline fit.
CAND_0052328,52,0.628,Recommendation Systems Engineer with 6.5 years experience at Amazon; verified LoRA score 85/100; hands-on embeddings work in career history. Concern: borderline fit.
CAND_0069248,53,0.6275,"AI Research Engineer with 5.4 years experience at Unacademy; verified BentoML score 87/100; hands-on ranking, recommendation work in career history. Concern: notice period 120 days; borderline fit."
CAND_0073883,54,0.6272,"AI Specialist with 5.3 years experience at Krutrim; verified PEFT score 81/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
CAND_0036184,55,0.6271,Recommendation Systems Engineer with 6.0 years experience at CRED; verified GANs score 87/100; hands-on retrieval work in career history. Concern: borderline fit.
CAND_0081053,56,0.6271,"NLP Engineer with 5.4 years experience at Glance; verified QLoRA score 89/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
CAND_0060340,57,0.627,"Computer Vision Engineer with 6.1 years experience at Wysa; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0069638,58,0.6269,"Computer Vision Engineer with 6.2 years experience at Swiggy; verified Prompt Engineering score 75/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0053591,59,0.6261,"AI Engineer with 5.3 years experience at Ola; verified LangChain score 90/100; hands-on ranking, embeddings work in career history. Concern: borderline fit."
CAND_0024878,60,0.6255,"AI Specialist with 5.7 years experience at HCL; verified pgvector score 51/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0043860,61,0.6241,"Junior ML Engineer with 6.1 years experience at Aganitha; verified Information Retrieval score 84/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0079064,62,0.6236,"Senior Data Scientist with 5.2 years experience at Niramai; verified OpenSearch score 58/100; hands-on retrieval, embeddings work in career history. Concern: notice period 120 days; borderline fit."
CAND_0025882,63,0.623,"Senior Software Engineer (ML) with 5.6 years experience at Freshworks; verified MLflow score 73/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0044222,64,0.623,"AI Engineer with 7.7 years experience at PolicyBazaar; verified LlamaIndex score 85/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0078492,65,0.6228,Recommendation Systems Engineer with 5.1 years experience at Verloop.io; verified Machine Learning score 66/100; hands-on ranking work in career history. Concern: borderline fit.
CAND_0005509,66,0.6227,"Data Scientist with 6.0 years experience at Ola; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0083852,67,0.622,"Data Scientist with 6.0 years experience at Mad Street Den; verified Kubeflow score 69/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
CAND_0075574,68,0.6218,"Machine Learning Engineer with 5.7 years experience at Haptik; verified pgvector score 83/100; hands-on ranking, embeddings work in career history. Concern: borderline fit."
CAND_0076163,69,0.6214,NLP Engineer with 6.9 years experience at Ola; verified BM25 score 92/100; hands-on ranking work in career history. Concern: borderline fit.
CAND_0074123,70,0.6213,"Data Scientist with 6.9 years experience at CRED; verified Object Detection score 78/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0081686,71,0.6211,"Search Engineer with 6.0 years experience at Netflix; verified FAISS score 86/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0070525,72,0.6207,"Senior Software Engineer (ML) with 5.4 years experience at Mad Street Den; verified Recommendation Systems score 63/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0010149,73,0.6206,"ML Engineer with 6.9 years experience at Glance; verified Computer Vision score 62/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
CAND_0016163,74,0.6195,Applied ML Engineer with 6.7 years experience at Dream11; verified Time Series score 89/100; hands-on retrieval work in career history. Concern: notice period 120 days; borderline fit.
CAND_0030953,75,0.6194,"Search Engineer with 7.8 years experience at Nykaa; verified Learning to Rank score 85/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0078002,76,0.6193,"Machine Learning Engineer with 6.3 years experience at Meta; verified pgvector score 80/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0091909,77,0.6193,"Machine Learning Engineer with 6.9 years experience at Rephrase.ai; verified Image Classification score 90/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0057563,78,0.6189,"NLP Engineer with 6.8 years experience at Locobuzz; verified Deep Learning score 81/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0062247,79,0.6188,"AI Engineer with 7.3 years experience at Google; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0039383,80,0.6187,"Applied ML Engineer with 7.1 years experience at Meesho; verified Hugging Face Transformers score 86/100; hands-on retrieval, ranking work in career history. Concern: notice period 90 days; borderline fit."
CAND_0066999,81,0.6187,Recommendation Systems Engineer with 5.9 years experience at Microsoft; verified Pinecone score 90/100; hands-on ranking work in career history. Concern: borderline fit.
CAND_0058688,82,0.6182,"AI Engineer with 6.7 years experience at Vedantu; verified scikit-learn score 67/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0077296,83,0.6178,"Computer Vision Engineer with 5.8 years experience at Ola; verified Forecasting score 87/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0027801,84,0.6175,NLP Engineer with 7.4 years experience at InMobi; verified FAISS score 82/100; hands-on retrieval work in career history. Concern: notice period 120 days; borderline fit.
CAND_0043228,85,0.6167,"Applied ML Engineer with 6.8 years experience at Zoho; verified Image Classification score 84/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0045141,86,0.6161,"Data Scientist with 5.3 years experience at HCL; verified YOLO score 82/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0006567,87,0.615,Senior AI Engineer with 7.9 years experience at Meta; verified scikit-learn score 90/100; hands-on ranking work in career history. Concern: borderline fit.
CAND_0039754,88,0.6145,"Senior Applied Scientist with 16.2 years experience at Meta; verified Fine-tuning LLMs score 96/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0044855,89,0.6145,"Senior Data Scientist with 6.6 years experience at Flipkart; verified BentoML score 80/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0015967,90,0.6141,"Senior Software Engineer (ML) with 5.4 years experience at Razorpay; verified ASR score 79/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0053695,91,0.6137,"Recommendation Systems Engineer with 5.8 years experience at Meesho; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0092706,92,0.6136,"AI Research Engineer with 5.8 years experience at Unacademy; verified Forecasting score 80/100; hands-on ranking, recommendation work in career history. Concern: notice period 120 days; borderline fit."
CAND_0092255,93,0.6131,"ML Engineer with 5.2 years experience at InMobi; verified Machine Learning score 55/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0041568,94,0.613,"Search Engineer with 5.2 years experience at Haptik; verified Feature Engineering score 86/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
CAND_0075249,95,0.6126,"Applied ML Engineer with 6.2 years experience at Zomato; verified Sentence Transformers score 81/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0013613,96,0.6125,"Machine Learning Engineer with 4.7 years experience at Adobe; verified TensorFlow score 89/100; hands-on retrieval, ranking work in career history. Concern: borderline fit."
CAND_0049538,97,0.6123,Applied ML Engineer with 5.8 years experience at Saarthi.ai; verified MLflow score 87/100; hands-on ranking work in career history. Concern: borderline fit.
CAND_0096142,98,0.6109,"Applied ML Engineer with 5.0 years experience at upGrad; verified LoRA score 92/100; hands-on ranking, recommendation work in career history. Concern: notice period 120 days; borderline fit."
CAND_0065786,99,0.6108,"AI Specialist with 4.9 years experience at Swiggy; verified Learning to Rank score 53/100; hands-on ranking, recommendation work in career history. Concern: borderline fit."
CAND_0044262,100,0.6102,"Data Scientist with 6.9 years experience at upGrad; verified Time Series score 87/100; hands-on ranking, recommendation work in career history. Concern: notice period 90 days; borderline fit."
